City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Codrington,AU,-38.27,141.97,46.9,72,100,8.01,Overcast Clouds
79,Akdepe,TM,42.06,59.38,77.09,19,0,9.73,Clear Sky
80,Wanning,CN,18.8,110.4,78.78,87,7,3.49,Clear Sky
81,Georgetown,MY,5.41,100.34,82.89,89,20,4.61,Moderate Rain
82,Olmos,PE,-5.98,-79.75,85.71,37,78,10.78,Broken Clouds
83,Silute,LT,55.35,21.48,53.11,74,50,6.82,Scattered Clouds
84,Chokurdakh,RU,70.63,147.92,37.0,71,100,7.07,Overcast Clouds
85,Matadi,CD,-5.82,13.45,77.23,68,93,10.04,Overcast Clouds
86,Ancud,CL,-41.87,-73.82,46.22,78,100,7.81,Overcast Clouds
87,Kahului,US,20.89,-156.47,80.96,71,75,9.22,Broken Clouds
88,Hami,CN,42.8,93.45,73.74,26,99,7.94,Overcast Clouds
89,Barrow,US,71.29,-156.79,39.22,93,100,18.41,Mist
90,Ashqelon,IL,31.67,34.57,84.09,82,1,5.35,Clear Sky
91,Lebu,CL,-37.62,-73.65,53.29,78,5,10.27,Clear Sky
92,Taltal,CL,-25.4,-70.48,58.01,75,24,4.32,Few Clouds
93,Kismayo,SO,-0.36,42.55,74.91,78,58,15.95,Broken Clouds
94,Mahibadhoo,MV,3.78,72.97,78.42,82,100,15.57,Light Rain
95,Sambava,MG,-14.27,50.17,66.34,89,8,4.5,Clear Sky
96,Blagoyevo,RU,63.37,47.92,46.42,62,100,10.76,Light Rain
97,Sinnamary,GF,5.38,-52.95,81.3,82,98,8.9,Overcast Clouds
98,Sur,OM,22.57,59.53,85.1,60,2,10.38,Clear Sky
99,Hambantota,LK,6.12,81.12,77.74,83,100,17.72,Overcast Clouds
100,Olafsvik,IS,64.89,-23.71,47.03,83,100,14.88,Overcast Clouds
101,Meulaboh,ID,4.14,96.13,75.34,91,100,5.1,Overcast Clouds
102,Eydhafushi,MV,5.1,73.07,78.84,76,100,19.44,Overcast Clouds
103,Moree,AU,-29.47,149.85,51.67,90,64,8.99,Broken Clouds
104,Luganville,VU,-15.53,167.17,77.13,80,99,13.42,Overcast Clouds
105,Qaanaaq,GL,77.48,-69.36,35.33,66,0,3.42,Clear Sky
106,Tuatapere,NZ,-46.13,167.68,50.07,95,94,3.6,Overcast Clouds
107,Klaksvik,FO,62.23,-6.59,50.92,89,13,16.84,Few Clouds
108,Vostok,RU,46.49,135.88,49.42,95,0,4.25,Clear Sky
109,Muros,ES,42.78,-9.06,65.68,88,78,1.54,Broken Clouds
110,Bluff,NZ,-46.6,168.33,51.69,90,100,6.08,Overcast Clouds
111,Saldanha,ZA,-33.01,17.94,69.85,46,71,10.58,Broken Clouds
112,Ambilobe,MG,-13.2,49.05,70.99,81,95,1.48,Overcast Clouds
113,Mata Grande,BR,-9.12,-37.73,69.85,65,59,12.5,Broken Clouds
114,Puerto Ayora,EC,-0.74,-90.35,76.96,86,90,10.0,Overcast Clouds
115,Leningradskiy,RU,69.38,178.42,33.37,99,100,14.83,Snow
116,Jasper,US,37.2,-94.35,91.98,30,0,6.91,Clear Sky
117,Santa Isabel,BR,-23.32,-46.22,67.3,40,0,6.29,Clear Sky
118,Novyy Urengoy,RU,66.08,76.63,39.96,88,86,8.37,Overcast Clouds
119,Bredasdorp,ZA,-34.53,20.04,52.2,72,9,8.14,Clear Sky
120,Vaini,TO,-21.2,-175.2,73.56,78,20,8.05,Few Clouds
121,Bubaque,GW,11.28,-15.83,79.99,81,100,16.98,Light Rain
122,Esperance,AU,-33.87,121.9,51.04,82,30,6.29,Scattered Clouds
123,Namwala,ZM,-15.75,26.44,71.65,36,41,7.34,Scattered Clouds
124,Port Hardy,CA,50.7,-127.42,57.38,94,100,5.75,Fog
125,Bo Rai,TH,12.57,102.54,78.73,91,100,0.65,Overcast Clouds
126,Wanxian,CN,30.8,108.39,67.6,96,100,3.74,Overcast Clouds
127,Atuona,PF,-9.8,-139.03,76.96,71,10,24.56,Clear Sky
128,Carnarvon,AU,-24.87,113.63,65.03,43,2,18.01,Clear Sky
129,Harper,LR,4.38,-7.72,75.49,90,100,11.99,Moderate Rain
130,Pangkalanbuun,ID,-2.68,111.62,73.4,98,46,2.62,Scattered Clouds
131,Clyde River,CA,70.47,-68.59,41.23,81,75,11.5,Broken Clouds
132,Albany,US,42.6,-73.97,78.46,51,19,13.13,Few Clouds
133,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,74.55,76,75,13.13,Broken Clouds
134,Tigil,RU,57.8,158.67,49.24,92,1,5.88,Clear Sky
135,Hasaki,JP,35.73,140.83,79.2,89,33,18.77,Scattered Clouds
136,Boa Vista,BR,2.82,-60.67,87.78,58,40,4.61,Scattered Clouds
137,Saint-Georges,GD,12.06,-61.75,85.68,74,20,11.5,Few Clouds
138,Khatanga,RU,71.97,102.5,38.79,90,100,17.38,Overcast Clouds
139,Sibolga,ID,1.74,98.78,75.38,89,86,3.49,Overcast Clouds
140,Provideniya,RU,64.38,-173.3,46.67,98,100,7.31,Moderate Rain
141,Rio Grande,BR,-32.03,-52.1,68.11,73,33,10.6,Scattered Clouds
142,Nantucket,US,41.28,-70.1,82.54,74,0,18.41,Clear Sky
143,Vardo,NO,70.37,31.11,39.18,81,20,9.22,Few Clouds
144,Nouakchott,MR,18.09,-15.98,85.93,83,100,12.01,Light Rain
145,Portales,US,34.19,-103.33,74.73,45,60,11.61,Light Rain
146,Sokoni,TZ,-6.43,39.55,75.67,79,13,15.9,Few Clouds
147,Qasigiannguit,GL,68.82,-51.19,39.45,82,89,6.69,Overcast Clouds
148,Mayo,US,38.89,-76.51,85.98,48,20,11.5,Few Clouds
149,Bardiyah,LY,31.76,25.09,78.91,72,0,10.94,Clear Sky
150,Batagay-Alyta,RU,67.8,130.41,44.87,82,100,4.59,Overcast Clouds
151,Svetlogorsk,BY,52.63,29.73,51.19,62,8,6.13,Clear Sky
152,Kitimat,CA,54.05,-128.65,68.38,53,10,5.97,Clear Sky
153,Vila Velha,BR,-20.33,-40.29,69.75,73,75,9.22,Broken Clouds
154,Zatoka,UA,46.07,30.47,76.53,55,100,11.97,Overcast Clouds
155,Fairbanks,US,64.84,-147.72,61.61,63,20,8.05,Few Clouds
156,Soskovo,RU,52.75,35.38,53.94,70,22,6.22,Few Clouds
157,Xiaolingwei,CN,32.03,118.85,69.78,85,100,1.83,Overcast Clouds
158,Victoria,HK,22.29,114.16,85.32,86,8,4.0,Clear Sky
159,Coquimbo,CL,-29.95,-71.34,55.13,66,100,5.75,Overcast Clouds
160,Egvekinot,RU,66.32,-179.17,36.66,90,100,17.2,Overcast Clouds
161,Castro,BR,-24.79,-50.01,64.11,63,12,6.6,Few Clouds
162,Scarborough,GB,54.28,-0.4,60.37,87,43,1.99,Scattered Clouds
163,Norman Wells,CA,65.28,-126.83,64.44,59,75,3.44,Broken Clouds
164,Broken Hill,AU,-31.95,141.43,47.21,61,72,3.69,Broken Clouds
165,Sao Mateus Do Sul,BR,-25.87,-50.38,66.2,55,0,2.86,Clear Sky
166,Ondangwa,NA,-17.92,15.95,66.2,30,8,3.44,Clear Sky
167,Lanas,PH,12.05,121.92,83.35,77,97,14.61,Overcast Clouds
168,Saint George,US,37.1,-113.58,105.44,13,0,8.05,Clear Sky
169,Pareora,NZ,-44.49,171.21,52.18,89,100,3.91,Overcast Clouds
170,Marawi,PH,8.0,124.29,68.72,93,100,4.65,Overcast Clouds
171,Bengkulu,ID,-3.8,102.27,75.51,90,90,5.14,Overcast Clouds
172,Miyako,JP,39.64,141.95,73.58,93,93,4.85,Light Rain
173,Flinders,AU,-34.58,150.86,53.19,90,26,3.0,Scattered Clouds
174,Fuerte,PH,17.54,120.36,79.81,84,58,4.38,Broken Clouds
175,Cayenne,GF,4.93,-52.33,86.04,70,20,10.36,Few Clouds
176,Mollendo,PE,-17.02,-72.01,61.93,76,67,8.61,Broken Clouds
177,Caloundra,AU,-26.8,153.13,62.11,91,79,3.0,Broken Clouds
178,Kenai,US,60.55,-151.26,53.69,94,100,0.0,Light Rain
179,Thompson,CA,55.74,-97.86,50.16,66,100,4.61,Overcast Clouds
180,Abu Dhabi,AE,24.47,54.37,89.62,81,0,6.91,Clear Sky
181,Sao Miguel Do Araguaia,BR,-13.28,-50.16,94.64,17,1,7.38,Clear Sky
